,Date,Open,High,Low,Close
217,2021-02-23,"1,724.04","1,724.04","1,655.86","1,711.82"
216,2021-02-24,"1,711.03","1,725.97","1,688.65","1,723.63"
215,2021-02-25,"1,723.21","1,724.59","1,655.69","1,662.61"
214,2021-02-26,"1,663.42","1,690.54","1,650.55","1,677.57"
213,2021-03-01,"1,678.64","1,726.64","1,678.64","1,724.54"
212,2021-03-02,"1,724.85","1,728.37","1,694.48","1,694.54"
211,2021-03-03,"1,694.08","1,694.08","1,631.68","1,631.85"
210,2021-03-04,"1,631.95","1,634.03","1,556.89","1,580.07"
209,2021-03-05,"1,581.59","1,598.86","1,521.03","1,597.47"
208,2021-03-08,"1,597.06","1,615.55","1,563.45","1,563.84"
207,2021-03-09,"1,565.78","1,626.77","1,565.78","1,616.43"
206,2021-03-10,"1,618.17","1,643.73","1,613.31","1,614.81"
205,2021-03-11,"1,617.04","1,664.15","1,617.04","1,659.98"
204,2021-03-12,"1,658.62","1,658.62","1,627.20","1,652.02"
203,2021-03-15,"1,652.20","1,678.95","1,652.20","1,678.77"
202,2021-03-16,"1,679.17","1,691.51","1,653.79","1,665.64"
201,2021-03-17,"1,664.73","1,675.52","1,637.67","1,665.60"
200,2021-03-18,"1,663.68","1,663.68","1,615.91","1,618.62"
199,2021-03-19,"1,619.26","1,642.46","1,611.71","1,634.91"
198,2021-03-22,"1,635.90","1,663.58","1,635.90","1,656.06"
197,2021-03-23,"1,656.45","1,657.83","1,631.25","1,635.02"
196,2021-03-24,"1,636.48","1,640.83","1,602.96","1,602.97"
195,2021-03-25,"1,602.62","1,609.03","1,573.74","1,605.61"
194,2021-03-26,"1,606.93","1,636.43","1,602.61","1,635.68"
193,2021-03-29,"1,634.76","1,637.12","1,607.47","1,615.88"
192,2021-03-30,"1,611.91","1,619.59","1,601.24","1,616.33"
191,2021-03-31,"1,619.80","1,655.47","1,619.80","1,644.94"
190,2021-04-01,"1,647.86","1,680.68","1,647.86","1,676.84"
189,2021-04-05,"1,688.67","1,688.95","1,675.66","1,686.50"
188,2021-04-06,"1,686.31","1,708.17","1,683.00","1,698.62"
187,2021-04-07,"1,698.01","1,698.01","1,680.90","1,684.14"
186,2021-04-08,"1,686.83","1,709.07","1,686.83","1,707.37"
185,2021-04-09,"1,706.86","1,716.15","1,696.48","1,715.84"
184,2021-04-12,"1,713.77","1,719.33","1,702.27","1,716.41"
183,2021-04-13,"1,717.14","1,739.22","1,717.14","1,737.40"
182,2021-04-14,"1,737.30","1,751.05","1,724.61","1,726.81"
181,2021-04-15,"1,728.50","1,757.19","1,728.50","1,755.33"
180,2021-04-16,"1,755.77","1,759.14","1,744.32","1,753.47"
179,2021-04-19,"1,753.09","1,753.09","1,721.25","1,730.27"
178,2021-04-20,"1,729.80","1,735.55","1,706.93","1,716.88"
177,2021-04-21,"1,716.72","1,738.33","1,712.17","1,738.28"
176,2021-04-22,"1,737.93","1,762.26","1,733.40","1,740.62"
175,2021-04-23,"1,742.33","1,770.04","1,742.33","1,766.66"
174,2021-04-26,"1,767.47","1,784.82","1,764.85","1,783.75"
173,2021-04-27,"1,783.99","1,787.18","1,771.97","1,778.41"
172,2021-04-28,"1,776.96","1,776.96","1,763.30","1,765.91"
171,2021-04-29,"1,767.42","1,776.18","1,744.02","1,758.42"
170,2021-04-30,"1,756.79","1,756.79","1,735.18","1,736.86"
169,2021-05-03,"1,737.28","1,746.63","1,724.70","1,725.45"
168,2021-05-04,"1,724.27","1,724.27","1,676.59","1,695.68"
167,2021-05-05,"1,697.61","1,711.03","1,678.43","1,683.02"
166,2021-05-06,"1,682.29","1,682.29","1,646.88","1,665.07"
165,2021-05-07,"1,666.27","1,698.60","1,666.27","1,686.49"
164,2021-05-10,"1,686.18","1,686.18","1,655.21","1,655.24"
163,2021-05-11,"1,651.47","1,661.79","1,622.33","1,657.10"
162,2021-05-12,"1,653.90","1,653.90","1,610.20","1,611.84"
161,2021-05-13,"1,611.98","1,633.86","1,601.13","1,615.13"
160,2021-05-14,"1,615.13","1,656.30","1,615.13","1,652.22"
159,2021-05-17,"1,651.87","1,651.87","1,628.19","1,640.00"
158,2021-05-18,"1,640.41","1,658.06","1,639.02","1,639.24"
157,2021-05-19,"1,637.15","1,639.93","1,611.04","1,639.67"
156,2021-05-20,"1,640.81","1,679.23","1,640.81","1,675.66"
155,2021-05-21,"1,676.87","1,690.45","1,673.10","1,673.47"
154,2021-05-24,"1,681.18","1,696.61","1,681.18","1,690.82"
153,2021-05-25,"1,692.61","1,700.83","1,689.62","1,691.85"
152,2021-05-26,"1,693.19","1,702.41","1,693.19","1,700.77"
151,2021-05-27,"1,700.71","1,709.17","1,688.32","1,703.56"
150,2021-05-28,"1,704.54","1,720.95","1,704.54","1,709.42"
149,2021-06-01,"1,710.66","1,718.11","1,693.17","1,700.74"
148,2021-06-02,"1,700.67","1,706.08","1,698.03","1,701.06"
147,2021-06-03,"1,699.32","1,699.32","1,675.09","1,683.30"
146,2021-06-04,"1,685.06","1,706.52","1,685.06","1,705.28"
145,2021-06-07,"1,705.04","1,716.00","1,702.84","1,714.58"
144,2021-06-08,"1,715.25","1,727.60","1,707.74","1,722.54"
143,2021-06-09,"1,723.61","1,731.32","1,717.54","1,717.56"
142,2021-06-10,"1,717.84","1,741.03","1,717.54","1,740.63"
141,2021-06-11,"1,740.00","1,752.03","1,739.54","1,751.96"
140,2021-06-14,"1,752.85","1,760.42","1,749.72","1,760.41"
139,2021-06-15,"1,760.83","1,760.83","1,742.17","1,744.91"
138,2021-06-16,"1,745.17","1,752.77","1,725.48","1,741.64"
137,2021-06-17,"1,740.98","1,768.06","1,736.12","1,765.12"
136,2021-06-18,"1,765.01","1,765.96","1,754.68","1,757.77"
135,2021-06-21,"1,757.85","1,778.04","1,748.35","1,775.57"
134,2021-06-22,"1,775.82","1,797.62","1,775.82","1,795.94"
133,2021-06-23,"1,796.06","1,802.41","1,794.06","1,796.41"
132,2021-06-24,"1,797.08","1,815.04","1,797.08","1,810.45"
131,2021-06-25,"1,812.45","1,820.61","1,811.08","1,820.15"
130,2021-06-28,"1,821.28","1,830.27","1,821.23","1,829.76"
129,2021-06-29,"1,830.08","1,835.65","1,826.43","1,833.18"
128,2021-06-30,"1,832.59","1,832.58","1,824.58","1,824.91"
127,2021-07-01,"1,825.08","1,830.73","1,815.71","1,825.48"
126,2021-07-02,"1,826.39","1,835.93","1,826.39","1,833.03"
125,2021-07-06,"1,833.29","1,839.43","1,822.84","1,837.84"
124,2021-07-07,"1,838.73","1,845.28","1,818.82","1,832.27"
123,2021-07-08,"1,831.39","1,831.39","1,789.21","1,814.64"
122,2021-07-09,"1,815.18","1,838.05","1,815.18","1,837.11"
121,2021-07-12,"1,837.11","1,842.11","1,826.57","1,831.71"
120,2021-07-13,"1,831.47","1,831.47","1,813.20","1,813.56"
119,2021-07-14,"1,814.06","1,823.47","1,792.15","1,792.47"
118,2021-07-15,"1,792.38","1,797.46","1,768.00","1,781.52"
117,2021-07-16,"1,782.24","1,791.59","1,772.79","1,774.59"
116,2021-07-19,"1,771.96","1,771.96","1,742.63","1,762.91"
115,2021-07-20,"1,763.65","1,810.91","1,763.65","1,804.03"
114,2021-07-21,"1,804.47","1,824.32","1,804.47","1,824.28"
113,2021-07-22,"1,824.33","1,829.79","1,818.79","1,828.35"
112,2021-07-23,"1,829.08","1,852.72","1,829.08","1,851.76"
111,2021-07-26,"1,850.54","1,850.54","1,838.82","1,843.73"
110,2021-07-27,"1,843.21","1,843.21","1,807.54","1,828.23"
109,2021-07-28,"1,828.80","1,849.77","1,827.19","1,844.35"
108,2021-07-29,"1,847.36","1,862.30","1,847.36","1,851.20"
107,2021-07-30,"1,850.66","1,853.75","1,836.02","1,843.11"
106,2021-08-02,"1,844.55","1,854.12","1,841.03","1,842.55"
105,2021-08-03,"1,842.62","1,852.86","1,832.57","1,852.82"
104,2021-08-04,"1,852.74","1,859.85","1,849.35","1,855.67"
103,2021-08-05,"1,855.99","1,868.77","1,853.75","1,868.77"
102,2021-08-06,"1,867.77","1,868.82","1,848.74","1,855.79"
101,2021-08-09,"1,854.87","1,862.38","1,845.97","1,858.34"
100,2021-08-10,"1,859.07","1,866.15","1,847.72","1,849.01"
99,2021-08-11,"1,849.86","1,852.44","1,831.74","1,847.02"
98,2021-08-12,"1,847.02","1,854.93","1,843.94","1,854.41"
97,2021-08-13,"1,854.43","1,855.79","1,848.05","1,851.77"
96,2021-08-16,"1,851.48","1,851.48","1,827.17","1,843.10"
95,2021-08-17,"1,841.86","1,841.86","1,813.09","1,827.87"
94,2021-08-18,"1,827.96","1,834.55","1,814.28","1,814.72"
93,2021-08-19,"1,813.66","1,824.05","1,799.76","1,814.16"
92,2021-08-20,"1,814.26","1,833.33","1,814.26","1,833.01"
91,2021-08-23,"1,833.52","1,857.58","1,833.52","1,855.58"
90,2021-08-24,"1,856.25","1,879.12","1,856.25","1,877.47"
89,2021-08-25,"1,877.33","1,891.80","1,877.33","1,890.27"
88,2021-08-26,"1,890.06","1,897.00","1,878.12","1,880.39"
87,2021-08-27,"1,880.51","1,907.90","1,880.51","1,904.02"
86,2021-08-30,"1,904.28","1,916.62","1,902.64","1,909.93"
85,2021-08-31,"1,910.06","1,910.06","1,898.56","1,901.63"
84,2021-09-01,"1,902.17","1,914.14","1,900.09","1,909.29"
83,2021-09-02,"1,910.76","1,923.64","1,910.76","1,920.41"
82,2021-09-03,"1,920.14","1,927.33","1,914.89","1,925.73"
81,2021-09-07,"1,925.47","1,927.71","1,910.21","1,910.41"
80,2021-09-08,"1,910.24","1,910.24","1,889.71","1,898.04"
79,2021-09-09,"1,897.71","1,913.07","1,896.24","1,900.87"
78,2021-09-10,"1,901.40","1,912.40","1,891.41","1,891.66"
77,2021-09-13,"1,892.17","1,899.18","1,867.56","1,879.80"
76,2021-09-14,"1,880.08","1,889.39","1,870.25","1,873.21"
75,2021-09-15,"1,873.44","1,889.07","1,864.38","1,886.64"
74,2021-09-16,"1,886.59","1,902.40","1,882.40","1,899.07"
