iShares Russell Mid-Cap Growth ETF
Fund Holdings as of,"Jan 07, 2026"
Inception Date,"Jul 17, 2001"
Shares Outstanding,"149,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAON","AAON INC","Industrials","Equity","36,106,189.86","0.17","36,106,189.86","465,226.00","77.61","United States","NASDAQ","USD","1.00","USD","-"
"WH","WYNDHAM HOTELS RESORTS INC","Consumer Discretionary","Equity","35,488,641.99","0.17","35,488,641.99","456,563.00","77.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLB","GITLAB INC CLASS A","Information Technology","Equity","35,337,424.76","0.17","35,337,424.76","961,301.00","36.76","United States","NASDAQ","USD","1.00","USD","-"
"APPF","APPFOLIO INC CLASS A","Information Technology","Equity","34,186,462.80","0.16","34,186,462.80","151,368.00","225.85","United States","NASDAQ","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","33,885,420.08","0.16","33,885,420.08","192,116.00","176.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRMN","KARMAN HOLDINGS INC","Industrials","Equity","32,061,276.32","0.15","32,061,276.32","349,556.00","91.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INCY","INCYTE CORP","Health Care","Equity","31,590,401.85","0.15","31,590,401.85","285,705.00","110.57","United States","NASDAQ","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","31,128,513.50","0.15","31,128,513.50","145,801.00","213.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Equity","30,898,584.00","0.15","30,898,584.00","1,144,392.00","27.00","United States","NASDAQ","USD","1.00","USD","-"
"JLL","JONES LANG LASALLE INC","Real Estate","Equity","30,845,364.00","0.15","30,845,364.00","87,450.00","352.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","30,491,399.92","0.14","30,491,399.92","878,968.00","34.69","United States","NASDAQ","USD","1.00","USD","-"
"PAYC","PAYCOM SOFTWARE INC","Industrials","Equity","30,310,483.24","0.14","30,310,483.24","193,282.00","156.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
